time_s,speed_kmh,throttle,brake,ems_mode,selector_mode,selector_auto,soc_pct,i_batt_a,v_oc_v,v_batt_v,v_bus_v,p_batt_kw,t_batt_c,dcdc_eff_pct,ice_on,ice_rpm,ice_torque_nm,t_coolant_c,mg1_rpm,mg1_torque_nm,mg2_rpm,mg2_torque_nm,mg2_eff_pct,fuel_rate_gs,fuel_total_g,p_friction_kw,wheel_torque_nm
107.75,176.64638590688256,0.4,0.0,HYBRID,AUTO,True,80.0,-41.110038228878246,213.8352951339508,218.63847934888312,500.0,-8.98823624433639,55.427458331798384,96.8,1,2493.5,26.73803043943842,54.49448975068762,1595.203806989907,-68.13545344760334,12729.428788413974,0.5524019108687899,92.26320634344782,0.5058232276839394,94.7892859310154,4.296425175,312.97052566943984
107.80000000000001,176.65732945029754,0.4,0.0,HYBRID,AUTO,True,80.0,-41.10902861667371,213.83509027941955,218.63779050263182,500.0,-8.987987186459005,55.43050672306267,96.8,1,2493.5,26.73803043943842,54.498723389063755,1595.0887419557491,-68.13545344760334,12730.217398132078,0.5520046677962523,92.26235532576645,0.5058122661676003,94.81460795949832,4.296425175,312.9671046867809
107.85000000000001,176.66825874281554,0.4,0.0,HYBRID,AUTO,True,80.0,-41.1080204961037,213.8348854514136,218.63710195041915,500.0,-8.987738468186539,55.433554719634365,96.8,1,2493.5,26.73803043943842,54.502926052921175,1594.9738267615367,-68.13545344760334,12731.004980907133,0.55160799113902,92.26150541629696,0.5058013848015738,94.83992944143687,4.296425175,312.963688581984
107.9,176.67917380237063,0.4,0.0,HYBRID,AUTO,True,80.0,-41.107013865114084,213.83468064991285,218.63641369189054,500.0,-8.987490089051361,55.43660232181431,96.8,1,2493.5,26.73803043943842,54.507097786310105,1594.8590612187036,-68.13545344760334,12731.791538031493,0.551211880045201,92.26065661364477,0.5057905834718759,94.86525038084032,4.296425175,312.9602773477129
107.95,176.69007464687584,0.4,0.0,HYBRID,AUTO,True,80.0,-41.10600872165379,213.83447587489698,218.63572572669185,500.0,-8.987242048586499,55.439649529902965,96.8,1,2493.5,26.73803043943842,54.51123863322461,1594.7444451389042,-68.13545344760334,12732.577070796006,0.5508163336643059,92.25980891641689,0.5057798620646686,94.89057078171228,4.296425175,312.95687097664336
108.0,176.7009612942234,0.0,0.5,REGEN,AUTO,True,80.0,0.0,213.8344591472713,213.8344591472713,500.0,-0.0,55.43959007751473,96.8,0,2463.5,0.0,54.51007049898541,0.0,0.0,12733.361580490013,-0.0,0.0,0.0,94.89057078171228,0.0,-0.0
108.05000000000001,176.33623487821387,0.0,0.5,REGEN,AUTO,True,80.0,0.0,213.83446314246476,213.83446314246476,500.0,-0.0,55.43953062524261,96.8,0,2433.5,0.0,54.50925078505136,0.0,0.0,12707.078795727612,-0.0,0.0,0.0,94.89057078171228,0.0,-0.0
108.10000000000001,175.97193684789622,0.0,0.5,REGEN,AUTO,True,80.0,0.0,213.83446713765042,213.83446713765042,500.0,-0.0,55.43947117308661,96.8,0,2403.5,0.0,54.508431093886855,0.0,0.0,12680.82688114198,-0.0,0.0,0.0,94.89057078171228,0.0,-0.0
108.15,175.60806581653375,0.0,0.5,REGEN,AUTO,True,80.0,0.0,213.8344711328283,213.8344711328283,500.0,-0.0,55.439411721046724,96.8,0,2373.5,0.0,54.507611425491255,0.0,0.0,12654.605736802594,-0.0,0.0,0.0,94.89057078171228,0.0,-0.0
108.2,175.24462040212538,0.0,0.5,REGEN,AUTO,True,80.0,0.0,213.83447512799833,213.83447512799833,500.0,-0.0,55.43935226912296,96.8,0,2343.5,0.0,54.50679177986395,0.0,0.0,12628.415263120185,-0.0,0.0,0.0,94.89057078171228,0.0,-0.0
